ID,Vente,Adresse,TypeB,Surface,Prix,Nombre de Chambres,Date Vente
V33,Quai du Lac,Paris,Appartement,304,3658000,2,2022-12-26
V34,Boulevard de la Gare,Béziers,Maison,221,938200,2,2022-12-06
V35,Allée des Fleurs,Sarcelles,Villa,121,640250,1,2020-12-27
V36,Chemin de la Mairie,Versailles,Appartement,222,802000,5,2021-06-29
V37,Place de la Liberté,Angers,Appartement,199,726500,6,2023-03-23
V38,Quai des Vignes,Quimper,Maison,145,639000,6,2021-12-16
V39,Allée du Parc,Sarcelles,Appartement,311,1133500,9,2022-10-17
V40,Rue du Moulin,Issy-les-Moulineaux,Maison,52,238400,4,2022-10-22
V41,Boulevard de Bellevue,Angers,Maison,264,1128800,4,2023-10-13
V42,Chemin de l'Église,Metz,Appartement,177,639500,4,2021-11-14
V43,Avenue de la Gare,La Seyne-sur-Mer,Villa,342,1820500,5,2022-10-21
V44,Rue des Lilas,Aubervilliers,Appartement,91,328500,2,2023-01-02
V45,Chemin Saint-Martin,Aulnay-sous-Bois,Maison,310,1322000,4,2023-08-01
V46,Quai Victor Hugo,Ivry-sur-Seine,Maison,317,1366400,7,2023-07-01
V47,Chemin du Moulin,Angers,Villa,487,2586750,6,2023-01-03
V48,Chemin des Écoles,Saint-Nazaire,Appartement,296,1056000,4,2021-02-05
V49,Rue des Champs-Élysées,Quimper,Appartement,496,1766000,6,2021-12-05
V50,Boulevard des Champs-Élysées,Poitiers,Villa,280,1490000,4,2021-07-24
V51,Boulevard Jean Jaurès,Rueil-Malmaison,Villa,205,1101250,5,2021-03-24
V52,Quai de Bellevue,Asnières-sur-Seine,Maison,409,1747800,6,2021-07-16
V53,Rue du Lac,Vénissieux,Villa,415,2188750,2,2021-03-01
V54,Avenue de la Mairie,Calais,Villa,378,2004500,4,2023-05-19
V55,Allée de la Mairie,La Seyne-sur-Mer,Maison,179,771800,4,2021-08-26
V56,Avenue des Lilas,Aix-en-Provence,Villa,372,1968000,3,2023-12-27
V57,Boulevard de la Mairie,Bordeaux,Villa,455,2393750,1,2020-04-17
V58,Boulevard des Champs-Élysées,Troyes,Appartement,304,1084000,4,2023-11-15
V59,Rue de la Paix,Nîmes,Villa,498,2659500,9,2023-05-25
V60,Quai des Lilas,Cholet,Appartement,294,1044000,3,2021-12-02
V61,Quai Saint-Martin,Champigny-sur-Marne,Appartement,388,1393000,7,2020-02-27
V62,Avenue de la Gare,Calais,Maison,220,959000,7,2022-12-01
V63,Chemin Saint-Martin,Villeneuve-d'Ascq,Villa,241,1295250,6,2023-03-16
V64,Avenue Saint-Martin,Neuilly-sur-Seine,Appartement,483,1725500,7,2022-11-19
V65,Rue du Moulin,Montauban,Appartement,344,698000,2,2022-12-05
V66,Place des Lilas,Montreuil,Maison,71,303200,1,2023-07-09
V67,Boulevard Saint-Martin,Colmar,Villa,452,2423000,10,2023-12-28
V68,Place des Lilas,Rouen,Maison,291,1227200,1,2021-01-05
V69,Chemin Victor Hugo,Bordeaux,Villa,410,2192500,8,2021-09-05
V70,Quai de la République,Aix-en-Provence,Appartement,169,616500,5,2022-09-08
V71,Quai du Moulin,Troyes,Maison,201,869200,5,2022-04-29
V72,Allée Victor Hugo,Strasbourg,Maison,364,1578800,10,2020-12-20
V73,Place du Moulin,Besançon,Maison,464,1973800,5,2023-11-24
V74,Quai de la Mairie,Limoges,Villa,193,1023250,2,2023-03-21
V75,Quai de la Paix,Dijon,Villa,326,1731500,4,2020-09-20
V76,Boulevard du Moulin,Paris,Maison,401,5794400,4,2022-02-09
V77,Rue du Lac,Villeneuve-d'Ascq,Appartement,472,1662000,2,2022-08-08
V78,Chemin Jean Jaurès,Vitry-sur-Seine,Appartement,83,335500,9,2021-09-13
V79,Boulevard de la Paix,Bordeaux,Maison,279,1211800,8,2020-05-07
V80,Place Victor Hugo,Orléans,Villa,318,1719500,10,2021-01-21
V81,Avenue Victor Hugo,Créteil,Villa,376,2009000,7,2023-05-09
V82,Avenue des Champs-Élysées,Courbevoie,Appartement,445,1602500,9,2020-11-04
V83,Chemin des Vignes,Cannes,Maison,211,911200,5,2021-02-01
V84,Rue des Champs-Élysées,Issy-les-Moulineaux,Villa,219,1154750,1,2020-11-21
V85,Place Saint-Martin,Dijon,Appartement,471,1683500,7,2023-05-01
V86,Place de la Forêt,Boulogne-Billancourt,Villa,150,827500,8,2021-04-06
V87,Boulevard du Lac,Valence,Maison,175,770000,7,2020-06-24
V88,Place des Fleurs,Toulouse,Villa,115,710000,4,2020-12-30
V89,Avenue des Champs-Élysées,Clichy,Villa,299,1614750,9,2020-02-06
V90,Chemin du Parc,Champigny-sur-Marne,Appartement,187,674500,4,2021-05-10
V91,Chemin Victor Hugo,Metz,Villa,69,397250,7,2020-06-07
V92,Allée de l'Église,Boulogne-Billancourt,Villa,329,1752250,5,2022-03-11
V93,Rue des Écoles,Paris,Maison,245,3538000,2,2021-10-10
V94,Avenue de la Gare,Orléans,Appartement,224,829000,9,2023-08-21
V95,Avenue des Lilas,Reims,Villa,146,806500,8,2022-04-04
V96,Place de la République,Asnières-sur-Seine,Villa,380,2025000,6,2022-03-28
V97,Rue Victor Hugo,Colmar,Appartement,29,111500,2,2020-07-24
V98,Chemin de la Mairie,Limoges,Maison,376,1624200,9,2023-03-11
V99,Allée Saint-Martin,Noisy-le-Grand,Maison,339,1448800,5,2021-03-27
V100,Quai des Fleurs,Dijon,Maison,296,1293200,10,2021-11-24
V101,Chemin de Bellevue,Clermont-Ferrand,Appartement,386,1391000,8,2020-10-20
V102,Avenue de la Liberté,Versailles,Appartement,315,1117500,3,2022-02-05
V103,Boulevard des Écoles,Nice,Appartement,157,908500,9,2021-04-28
V104,Boulevard de la République,Besançon,Villa,342,1805500,2,2020-08-19
V105,Avenue des Écoles,Strasbourg,Appartement,230,810000,1,2023-01-12
V106,Rue de la République,Saint-Maur-des-Fossés,Appartement,314,1134000,7,2022-06-05
V107,Chemin de la Paix,Aix-en-Provence,Maison,387,1655400,6,2021-07-20
V108,Quai de la Mairie,Dunkerque,Villa,302,1605500,4,2021-01-06
V109,Place des Fleurs,Marseille,Villa,45,286250,10,2021-04-29
V110,Avenue de la Gare,Lyon,Maison,20,170000,10,2021-03-28
V111,Allée Victor Hugo,Boulogne-Billancourt,Appartement,56,221000,5,2020-06-04
V112,Rue du Moulin,Argenteuil,Appartement,494,1779000,10,2023-06-01
V113,Boulevard de la Gare,Toulon,Maison,197,857400,6,2021-01-10
V114,Boulevard du Parc,Chambéry,Villa,20,120000,3,2021-10-26
V115,Allée du Lac,Pau,Appartement,115,442500,8,2023-03-26
V116,Allée des Vignes,Dijon,Villa,88,492000,6,2021-03-22
V117,Boulevard du Moulin,Mulhouse,Maison,131,560200,2,2021-11-24
V118,Quai des Écoles,Le Havre,Villa,93,508250,4,2021-02-21
V119,Quai des Lilas,Levallois-Perret,Villa,219,1154750,1,2021-08-11
V120,Place de l'Église,Rennes,Appartement,464,1644000,4,2022-08-23
V121,Boulevard du Lac,Reims,Appartement,182,642000,1,2023-09-08
V122,Chemin des Écoles,Poitiers,Villa,345,1821250,2,2020-04-06
V123,Rue de la Paix,Le Havre,Appartement,104,379000,3,2021-04-15
V124,Avenue des Écoles,Toulon,Maison,268,1155600,6,2020-09-06
V125,Allée Saint-Martin,Courbevoie,Appartement,323,1135500,1,2021-04-16
V126,Allée Jean Jaurès,Perpignan,Villa,261,1405250,7,2021-10-30
V127,Place des Vignes,Cannes,Maison,79,346800,3,2022-01-20
V128,Allée de la Forêt,Antony,Villa,268,1427000,4,2021-06-23
V129,Allée du Moulin,Paris,Villa,441,7943000,1,2020-05-20
V130,Chemin de la Mairie,Montpellier,Villa,261,1375250,1,2021-09-13
V131,Allée des Lilas,Roubaix,Villa,68,382000,5,2021-02-04
V132,Rue de Bellevue,Orléans,Appartement,396,1421000,7,2021-03-08
V133,Allée des Vignes,Angers,Appartement,490,1720000,1,2022-03-10
V134,Rue de l'Église,Saint-Étienne,Maison,225,985000,8,2022-06-11
V135,Quai des Lilas,Cholet,Maison,91,427200,9,2021-09-17
V136,Place Saint-Martin,Angers,Maison,243,1040600,4,2020-07-09
V137,Boulevard des Champs-Élysées,Saint-Étienne,Maison,127,543400,2,2023-06-14
V138,Chemin Saint-Martin,Antony,Maison,169,759800,10,2022-11-10
V139,Boulevard des Champs-Élysées,Grenoble,Maison,423,1781600,1,2021-11-08
V140,Place de la Gare,Perpignan,Appartement,357,1299500,10,2021-02-05
V141,Chemin Saint-Martin,Antibes,Maison,238,1049600,10,2022-04-24
V142,Rue de la Forêt,Saint-Étienne,Appartement,421,1498500,5,2023-03-10
V143,Boulevard des Champs-Élysées,Quimper,Maison,182,799400,7,2022-04-02
V144,Boulevard de la Liberté,Colmar,Villa,30,177500,4,2020-05-12
V145,Rue Jean Jaurès,Montreuil,Appartement,379,1351500,5,2022-12-12
V146,Place Victor Hugo,Amiens,Villa,434,2303500,5,2022-02-27
V147,Allée de la République,Mérignac,Villa,270,1447500,6,2023-04-29
V148,Quai de la Forêt,Metz,Villa,157,874250,10,2022-04-22
V149,Rue de la Liberté,Mulhouse,Maison,258,1098600,3,2021-10-11
V150,Allée de la Paix,Metz,Maison,495,2104000,5,2020-01-25
V151,Rue de la Gare,Brest,Maison,360,1517000,1,2023-01-15
V152,Allée des Vignes,Sarcelles,Maison,55,251000,4,2023-06-20
V153,Quai de la Mairie,Saint-Nazaire,Maison,252,1073400,3,2021-04-02
V154,Avenue des Lilas,Asnières-sur-Seine,Maison,79,381800,10,2023-05-22
V155,Place des Fleurs,Reims,Villa,305,1606250,1,2021-03-23
V156,Allée de la Mairie,Versailles,Appartement,327,1149500,1,2021-05-27
V157,Avenue de la Liberté,Bordeaux,Maison,132,584400,6,2020-09-04
V158,Avenue Jean Jaurès,Clermont-Ferrand,Maison,142,636400,8,2021-05-04
V159,Place Jean Jaurès,Cholet,Maison,147,627400,2,2021-02-04
V160,Allée du Moulin,Antony,Villa,125,681250,5,2022-06-10
V161,Place Saint-Martin,Issy-les-Moulineaux,Appartement,225,812500,5,2022-02-02
V162,Allée du Lac,Marseille,Maison,22,107400,3,2022-10-12
V163,Place Victor Hugo,Saint-Étienne,Maison,493,2120600,10,2023-02-17
V164,Chemin de Bellevue,Montreuil,Villa,480,2525000,1,2021-09-09
V165,Allée du Lac,Marseille,Maison,308,1338600,9,2021-07-17
V166,Boulevard du Moulin,Antibes,Appartement,168,608000,4,2023-08-16
V167,Rue de la Liberté,Roubaix,Maison,401,1699200,3,2022-08-30
V168,Boulevard des Écoles,Saint-Nazaire,Villa,217,1169250,6,2022-11-18
V169,Boulevard Victor Hugo,Saint-Maur-des-Fossés,Maison,195,834000,3,2021-01-11
V170,Quai de la Paix,Nîmes,Villa,276,1469000,4,2022-03-10
V171,Rue de la République,Montauban,Villa,162,526000,8,2022-08-04
V172,Avenue Saint-Martin,Lorient,Villa,99,564750,9,2021-07-15
V173,Place des Fleurs,Saint-Maur-des-Fossés,Appartement,132,482000,4,2020-03-14
V174,Rue des Fleurs,Reims,Villa,424,2241000,3,2022-10-27
V175,Boulevard de la Forêt,La Seyne-sur-Mer,Villa,422,2265500,10,2023-11-02
V176,Allée Victor Hugo,Nancy,Maison,339,1443800,4,2021-02-14
V177,Chemin de la Gare,Reims,Villa,153,808250,1,2021-04-17
V178,Boulevard de la République,Tours,Maison,113,519600,9,2023-08-18
V179,Boulevard Jean Jaurès,Saint-Étienne,Appartement,60,235000,5,2020-10-25
V180,Chemin des Lilas,La Seyne-sur-Mer,Maison,75,365000,10,2021-10-17
V181,Place de l'Opéra,Villeneuve-d'Ascq,Appartement,194,729000,10,2022-05-31
V182,Chemin de la Forêt,Vénissieux,Maison,295,1259000,4,2021-10-05
V183,Avenue Jean Jaurès,Angers,Villa,307,1626750,3,2022-07-18
V184,Allée de la Paix,Rouen,Appartement,259,931500,5,2023-09-26
V185,Boulevard du Lac,Tourcoing,Maison,138,599600,4,2020-04-25
V186,Avenue de l'Église,Champigny-sur-Marne,Villa,190,1012500,3,2022-09-13
V187,Boulevard Victor Hugo,Montreuil,Villa,419,2239750,8,2021-02-06
V188,Rue du Moulin,Saint-Maur-des-Fossés,Appartement,87,339500,7,2023-11-23
V189,Chemin des Champs-Élysées,Toulon,Villa,379,2034750,9,2023-12-13
V190,Avenue du Lac,Angers,Villa,130,712500,6,2020-10-18
V191,Avenue de la Paix,Le Havre,Maison,327,1383400,2,2022-10-25
V192,Boulevard des Fleurs,Lille,Appartement,93,375500,10,2022-09-19
V193,Place du Parc,Saint-Denis,Appartement,253,930500,9,2022-04-24
V194,Rue du Lac,Argenteuil,Maison,387,1675400,10,2023-02-10
V195,Chemin de la Forêt,Roubaix,Appartement,459,1626500,4,2021-03-12
V196,Chemin du Moulin,Le Mans,Appartement,217,784500,5,2021-08-15
V197,Allée des Lilas,Paris,Appartement,188,2301000,9,2020-08-10
V198,Chemin de la Paix,Lille,Appartement,86,321000,4,2022-02-04
V199,Rue des Champs-Élysées,Clermont-Ferrand,Appartement,303,1110500,10,2021-06-19
V200,Quai des Écoles,Niort,Appartement,162,612000,9,2021-03-13
V201,Avenue des Fleurs,Strasbourg,Appartement,87,319500,3,2022-01-19
V202,Quai du Parc,Sarcelles,Appartement,422,1482000,1,2021-06-04
V203,Chemin de la République,Caen,Maison,223,966600,6,2022-04-01
V204,Boulevard de l'Église,Cannes,Appartement,212,752000,2,2021-04-25
V205,Avenue du Moulin,Lille,Maison,464,1958800,2,2023-03-15
V206,Chemin de la Mairie,Saint-Quentin,Appartement,481,1693500,2,2022-12-27
V207,Quai de l'Église,Clermont-Ferrand,Appartement,482,1712000,5,2020-06-14
V208,Allée du Parc,Rennes,Villa,198,1084500,9,2023-07-17
V209,Quai de la Forêt,Saint-Étienne,Appartement,52,227000,9,2023-06-02
V210,Place du Lac,Courbevoie,Appartement,352,1252000,4,2022-03-05
V211,Boulevard de l'Église,Rouen,Maison,243,1060600,8,2022-09-10
V212,Avenue des Champs-Élysées,Toulon,Villa,195,1038750,3,2023-10-13
V213,Allée du Parc,Besançon,Villa,40,235000,5,2021-05-15
V214,Quai de la Gare,Nice,Maison,88,585800,1,2022-05-15
V215,Chemin des Lilas,Sarcelles,Appartement,147,544500,6,2021-06-01
V216,Avenue des Vignes,Argenteuil,Maison,332,1434400,8,2020-09-30
V217,Quai Saint-Martin,Saint-Denis,Villa,21,135250,5,2020-11-28
V218,Boulevard du Parc,Poitiers,Villa,166,896500,5,2021-01-27
V219,Place de la Paix,Toulon,Maison,198,871600,8,2021-11-10
V220,Quai du Moulin,Montauban,Maison,129,324600,3,2021-12-19
V221,Rue du Lac,Chambéry,Appartement,80,325000,9,2021-10-28
V222,Place de la Mairie,Lyon,Appartement,296,1525000,9,2022-06-14
V223,Allée des Vignes,Mulhouse,Maison,228,967600,2,2023-09-07
V224,Allée Victor Hugo,Paris,Villa,420,7600000,8,2023-02-10
V225,Chemin des Fleurs,Mulhouse,Appartement,69,291500,10,2021-04-15
V226,Rue de l'Opéra,Colmar,Maison,365,1573000,8,2020-01-26
V227,Chemin des Lilas,Aix-en-Provence,Maison,316,1332200,1,2021-06-16
V228,Quai de la Gare,Valence,Maison,133,593600,7,2020-07-11
V229,Boulevard de la République,Grenoble,Appartement,202,717000,2,2022-01-29
V230,Quai du Lac,Cannes,Maison,267,1171400,10,2021-08-03
V231,Rue de la Liberté,Antony,Villa,85,496250,10,2022-01-09
V232,Quai de l'Opéra,Aulnay-sous-Bois,Appartement,104,369000,1,2021-09-07
V233,Allée de l'Église,Quimper,Villa,52,283000,2,2022-09-28
V234,Quai des Lilas,Saint-Maur-des-Fossés,Villa,361,1910250,3,2022-04-17
V235,Chemin des Écoles,Courbevoie,Appartement,276,1016000,10,2023-06-16
V236,Avenue de la République,Saint-Maur-des-Fossés,Maison,427,1803400,2,2020-06-18
V237,Avenue de l'Opéra,Issy-les-Moulineaux,Appartement,371,1323500,5,2020-07-27
V238,Place des Lilas,Bordeaux,Villa,64,386000,10,2021-01-05
V239,Place de la Gare,Lille,Maison,396,1678200,3,2023-03-13
V240,Boulevard Victor Hugo,Paris,Appartement,479,5798000,10,2023-04-02
V241,Place du Parc,Nîmes,Villa,341,1805250,3,2022-03-28
V242,Chemin du Moulin,Asnières-sur-Seine,Appartement,118,458000,9,2020-10-05
V243,Rue de la République,Aubervilliers,Appartement,186,691000,8,2020-05-28
V244,Allée de la Gare,Rennes,Maison,320,1379000,7,2023-09-21
V245,Chemin de l'Opéra,Béziers,Villa,57,334250,7,2021-11-27
V246,Chemin de la Gare,Aulnay-sous-Bois,Maison,492,2076400,2,2020-04-27
V247,Avenue du Moulin,Rouen,Maison,194,864800,10,2023-04-05
V248,Chemin de l'Opéra,Levallois-Perret,Maison,345,1489000,8,2020-11-26
V249,Avenue Jean Jaurès,Montpellier,Maison,400,1715000,7,2021-06-15
V250,Place du Parc,Paris,Maison,193,2799200,4,2021-04-18
V251,Boulevard du Moulin,Lyon,Villa,88,670000,2,2020-08-07
V252,Quai Jean Jaurès,Rueil-Malmaison,Villa,48,287000,7,2023-07-19
V253,Place Victor Hugo,Courbevoie,Villa,305,1616250,3,2023-10-28
V254,Chemin Saint-Martin,Quimper,Maison,282,1219400,7,2020-11-30
V255,Boulevard des Lilas,Roubaix,Appartement,197,724500,7,2023-05-05
V256,Avenue de la Forêt,Cholet,Appartement,187,684500,6,2022-03-01
V257,Boulevard de la République,Colmar,Appartement,374,1329000,4,2021-06-21
V258,Avenue de la Forêt,Hyères,Maison,394,1669800,3,2020-07-25
V259,Allée Saint-Martin,Roubaix,Maison,451,1939200,9,2022-03-01
V260,Place Jean Jaurès,Boulogne-Billancourt,Appartement,396,1391000,1,2022-01-13
V261,Quai des Vignes,Besançon,Appartement,346,1241000,6,2022-06-11
V262,Place du Moulin,Toulon,Maison,332,1399400,1,2023-07-16
V263,Chemin des Lilas,Montreuil,Appartement,155,552500,2,2023-09-11
V264,Rue de la Paix,Le Havre,Villa,60,365000,10,2020-10-05
V265,Avenue du Parc,Montreuil,Appartement,314,1149000,10,2023-11-17
V266,Boulevard de la Paix,Nîmes,Villa,450,2377500,3,2022-07-26
V267,Chemin des Lilas,Ivry-sur-Seine,Appartement,243,870500,4,2020-05-08
V268,Place de la Liberté,Drancy,Maison,250,1095000,9,2023-07-17
V269,Avenue du Lac,Roubaix,Villa,342,1840500,9,2020-07-28
V270,Place du Parc,Roubaix,Maison,263,1154600,10,2021-03-09
V271,Place des Vignes,Caen,Maison,256,1115200,8,2023-10-02
V272,Avenue de l'Opéra,Grenoble,Maison,37,160400,1,2020-10-15
V273,Place de la Liberté,Limoges,Appartement,296,1076000,8,2022-07-02
V274,Boulevard Saint-Martin,Pessac,Appartement,432,1532000,4,2023-03-05
V275,Allée Jean Jaurès,Avignon,Villa,30,172500,3,2021-10-20
V276,Avenue des Fleurs,Caen,Villa,446,2371500,6,2022-04-28
V277,Quai de la Gare,Caen,Appartement,179,631500,1,2022-06-05
V278,Chemin de la Liberté,Noisy-le-Grand,Appartement,277,999500,6,2021-10-05
V279,Avenue de la Paix,Montpellier,Appartement,155,582500,8,2022-09-23
V280,Rue de la Paix,Vénissieux,Appartement,221,783500,2,2020-10-13
V281,Place de l'Opéra,Pau,Maison,334,1452800,10,2021-08-16
V282,Allée de la Paix,Bourges,Villa,401,2135250,6,2020-11-07
V283,Allée de la Forêt,Béziers,Appartement,264,969000,9,2023-03-08
V284,Quai des Vignes,Nîmes,Maison,155,681000,6,2020-01-19
V285,Place du Parc,Aulnay-sous-Bois,Villa,41,225250,2,2021-02-05
V286,Avenue des Champs-Élysées,Saint-Quentin,Maison,383,1618600,2,2020-03-27
V287,Avenue des Champs-Élysées,Bordeaux,Villa,357,1914250,8,2021-08-20
V288,Avenue Saint-Martin,Troyes,Maison,364,1548800,4,2022-07-30
V289,Rue de l'Opéra,Roubaix,Villa,203,1100750,7,2023-08-20
V290,Quai de la Gare,Brest,Villa,240,1305000,9,2022-01-08
V291,Place de la Liberté,Valence,Appartement,158,588000,7,2020-07-05
V292,Allée du Lac,Lyon,Maison,50,335000,7,2022-10-30
V293,Allée de la Paix,Troyes,Villa,241,1300250,7,2023-01-26
V294,Rue Victor Hugo,Vitry-sur-Seine,Villa,456,2399000,1,2023-05-27
V295,Quai Saint-Martin,Angers,Maison,457,1924400,1,2021-08-03
V296,Chemin de la Liberté,Colmar,Appartement,436,1561000,7,2023-07-29
V297,Avenue de l'Opéra,Cannes,Appartement,306,1091000,4,2022-12-28
V298,Chemin de la Mairie,Colmar,Appartement,465,1637500,2,2023-04-22
V299,Avenue de la République,Toulouse,Appartement,45,210000,6,2021-05-30
V300,Avenue des Écoles,Clermont-Ferrand,Appartement,134,519000,10,2022-05-20
V301,Boulevard des Écoles,Champigny-sur-Marne,Villa,409,2162250,3,2020-12-06
V302,Allée de la République,Rueil-Malmaison,Maison,74,360800,10,2020-07-15
V303,Place Victor Hugo,Le Havre,Maison,231,1005200,7,2021-06-11
V304,Place du Lac,Villeurbanne,Appartement,408,1473000,9,2021-01-25
V305,Place de l'Église,Amiens,Villa,37,234250,8,2022-03-12
V306,Allée du Lac,Asnières-sur-Seine,Appartement,467,1649500,3,2021-01-22
V307,Avenue de l'Opéra,Aulnay-sous-Bois,Maison,73,336600,6,2020-06-03
V308,Rue de la Mairie,Mulhouse,Villa,345,1841250,6,2020-06-01
V309,Allée du Moulin,Rueil-Malmaison,Appartement,355,1272500,6,2021-01-25
V310,Rue de la Forêt,Sarcelles,Villa,434,2308500,6,2022-07-01
V311,Place Saint-Martin,Grenoble,Villa,257,1394250,9,2023-01-12
V312,Boulevard des Fleurs,Neuilly-sur-Seine,Maison,125,555000,6,2021-01-21
V313,Allée de l'Église,Amiens,Appartement,417,1464500,1,2020-01-04
V314,Quai de la Forêt,Calais,Villa,62,330500,1,2023-06-24
V315,Allée des Lilas,Antibes,Villa,251,1327750,2,2022-10-22
V316,Chemin de la Mairie,Brest,Maison,432,1859400,9,2023-03-14
V317,Allée de la Mairie,Colombes,Appartement,70,255000,2,2022-06-17
V318,Place de la République,Cergy,Villa,167,901750,5,2022-10-11
V319,Rue du Moulin,Antony,Villa,173,913250,1,2023-02-14
V320,Chemin des Vignes,Argenteuil,Appartement,170,625000,6,2021-10-15
V321,Rue Victor Hugo,Calais,Villa,60,345000,6,2023-12-30
V322,Place de Bellevue,Bordeaux,Appartement,485,1712500,3,2021-01-21
V323,Allée de la République,Asnières-sur-Seine,Maison,42,191400,3,2022-07-12
V324,Place des Lilas,Saint-Étienne,Maison,479,2051800,8,2022-01-08
V325,Quai du Parc,Nîmes,Maison,359,1517800,2,2020-07-23
V326,Boulevard du Lac,Créteil,Appartement,430,1555000,10,2022-11-20
V327,Chemin Jean Jaurès,Roubaix,Maison,152,663400,5,2023-07-11
V328,Quai de la Mairie,Antibes,Villa,110,597500,4,2023-05-03
V329,Quai des Écoles,Clermont-Ferrand,Appartement,73,270500,3,2023-12-19
V330,Avenue de l'Opéra,Poitiers,Appartement,180,650000,4,2021-05-19
V331,Rue Saint-Martin,Grenoble,Maison,481,2030200,2,2020-11-24
V332,Allée Saint-Martin,Marseille,Appartement,95,377500,9,2022-10-20
V333,Rue de la Mairie,Valence,Villa,418,2239500,9,2020-01-16
V334,Allée du Parc,Lyon,Maison,249,1504000,2,2022-11-16
V335,Allée de la Paix,Caen,Maison,354,1511800,5,2021-07-07
V336,Quai Victor Hugo,Besançon,Appartement,499,1771500,5,2021-04-06
V337,Quai de la Paix,Paris,Maison,416,6010400,4,2023-07-20
V338,Allée de la Gare,Vitry-sur-Seine,Appartement,361,1273500,2,2020-08-05
V339,Rue de Bellevue,Avignon,Appartement,255,917500,5,2020-06-16
V340,Allée des Champs-Élysées,Dunkerque,Villa,387,2081750,10,2022-11-24
V341,Allée de l'Église,Issy-les-Moulineaux,Maison,76,359200,8,2023-07-06
V342,Rue des Vignes,Marseille,Appartement,245,862500,1,2022-11-24
V343,Allée de la Gare,Caen,Maison,283,1238600,10,2021-06-26
V344,Place du Moulin,Le Havre,Maison,497,2102400,3,2022-07-31
V345,Boulevard de l'Opéra,Troyes,Appartement,68,253000,3,2022-12-10
V346,Avenue du Parc,Saint-Quentin,Maison,360,1542000,6,2023-02-19
V347,Avenue du Moulin,Ivry-sur-Seine,Appartement,348,1258000,8,2020-03-30
V348,Avenue Jean Jaurès,Colombes,Appartement,309,1111500,6,2023-06-03
V349,Allée de l'Église,Hyères,Appartement,390,1380000,3,2021-02-13
V350,Rue des Fleurs,Nice,Maison,142,947200,2,2021-05-09
V351,Chemin du Parc,Courbevoie,Villa,222,1195500,6,2021-08-05
V352,Avenue du Parc,Avignon,Maison,470,1999000,5,2020-02-29
V353,Avenue de la République,Toulouse,Villa,436,2651000,7,2021-12-21
V354,Allée de l'Opéra,Pessac,Maison,387,1640400,3,2020-09-21
V355,Chemin du Parc,Cergy,Villa,234,1248500,4,2023-06-26
V356,Rue des Fleurs,Metz,Appartement,117,439500,6,2020-10-30
V357,Rue Saint-Martin,Avignon,Villa,405,2156250,6,2020-02-27
V358,Allée Victor Hugo,Créteil,Maison,125,545000,4,2021-07-29
